"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2YERX7Q7","book","2019","National Academies of Sciences, Engineering","A Roadmap to Reducing Child Poverty","","978-0-309-48398-8","","","https://nap.nationalacademies.org/catalog/25246/a-roadmap-to-reducing-child-poverty","Download a PDF of ""A Roadmap to Reducing Child Poverty"" by the National Academies of Sciences, Engineering, and Medicine for free.","2019-02-28","2022-06-25 19:17:19","2022-06-25 19:17:19","2022-06-25 19:17:19","","","","","","","","","","","","","","en","","","","","nap.nationalacademies.org","","DOI: 10.17226/25246","","C:\Users\andre\Zotero\storage\RGR5ZN9Q\National Academies of Sciences - 2019 - A Roadmap to Reducing Child Poverty.pdf; C:\Users\andre\Zotero\storage\SANAULCF\a-roadmap-to-reducing-child-poverty.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CP82BHJP","journalArticle","","Gettens, John; Lei, Pei-Pei; Henry, Alex","""Accounting for Geographic Variation in Social Security Disability Prog""","Social Security Bulletin","","","","https://escholarship.umassmed.edu/commed_pubs/203/","","","2022-06-25 19:18:26","2022-06-27 02:15:09","2022-06-21 19:18:26","29-47","","2","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NKRQBEE6","webpage","","","Accounting for Geographic Variation in Social Security Disability Program Participation","Social Security Administration Research, Statistics, and Policy Analysis","","","","https://www.ssa.gov/policy/docs/ssb/v78n2/v78n2p29.html","There is wide geographic variation in Social Security Disability Insurance and Supplementary Security Income participation across the United States. Some policymakers and members of the public may assume that interregional administrative inconsistencies are a major reason for the geographic variation.","","2022-06-25 19:18:44","2022-06-25 19:18:44","2022-06-25 19:18:44","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\andre\Zotero\storage\R6ESN67V\v78n2p29.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4QKCYD6K","book","2015","National Academies of Sciences, Engineering","Mental Disorders and Disabilities Among Low-Income Children","","978-0-309-37685-3","","","https://nap.nationalacademies.org/catalog/21780/mental-disorders-and-disabilities-among-low-income-children","Download a PDF of ""Mental Disorders and Disabilities Among Low-Income Children"" by the National Academies of Sciences, Engineering, and Medicine for free.","2015-09-09","2022-06-25 19:20:46","2022-06-25 19:20:46","2022-06-25 19:20:46","","","","","","","","","","","","","","en","","","","","nap.nationalacademies.org","","DOI: 10.17226/21780","","C:\Users\andre\Zotero\storage\8ANPAWDF\mental-disorders-and-disabilities-among-low-income-children.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHJ3UAI4","blogPost","2021","Damico, Anthony","A Closer Look at the Remaining Uninsured Population Eligible for Medicaid and CHIP","KFF","","","","https://www.kff.org/uninsured/issue-brief/a-closer-look-at-the-remaining-uninsured-population-eligible-for-medicaid-and-chip/","This issue brief examines the characteristics of the remaining uninsured population who are eligible for Medicaid or CHIP.","2021-11-18","2022-06-25 19:22:02","2022-06-27 02:21:50","2022-06-21 19:22:02","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\andre\Zotero\storage\6A3LZSJS\a-closer-look-at-the-remaining-uninsured-population-eligible-for-medicaid-and-chip.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KYNRGITT","webpage","","","III. The Supplemental Security Income Program","","","","","https://www.ssa.gov/OACT/ssir/SSI16/III_ProgramDescription.html#98370","","","2022-06-25 19:23:25","2022-06-25 19:23:25","2022-06-25 19:23:25","","","","","","","","","","","","","","","","","","","","","","","C:\Users\andre\Zotero\storage\GJ3NMKRM\III_ProgramDescription.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXVXUK8J","webpage","","","III. The Supplemental Security Income Program","","","","","https://www.ssa.gov/OACT/ssir/SSI19/III_ProgramDescription.html#98370","","","2022-06-25 19:24:21","2022-06-27 02:22:20","2022-06-21 19:24:21","","","","","","","","","","","","","","","","","","","","","","","C:\Users\andre\Zotero\storage\R78PNSGD\III_ProgramDescription.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S85QPY9F","blogPost","2022","2022","Status of State Medicaid Expansion Decisions: Interactive Map","KFF","","","","https://www.kff.org/medicaid/issue-brief/status-of-state-medicaid-expansion-decisions-interactive-map/","This page displays an interactive map of the current status of state decisions on the Affordable Care Act’s Medicaid expansion. Additional Medicaid expansion resources are listed (with links)…","2022-06-15","2022-06-25 19:26:02","2022-06-27 02:23:11","2022-06-21 19:26:02","","","","","","","Status of State Medicaid Expansion Decisions","","","","","","","en-US","","","","","","","","","C:\Users\andre\Zotero\storage\4HA4LNIM\status-of-state-medicaid-expansion-decisions-interactive-map.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73NLUKRI","journalArticle","2017","Hoagwood, Kimberly E.; Zima, Bonnie T.; Buka, Stephen L.; Houtrow, Amy; Kelleher, Kelly J.","State-to-State Variation in SSI Enrollment for Children With Mental Disabilities: An Administrative and Ethical Challenge","Psychiatric Services (Washington, D.C.)","","1557-9700","10.1176/appi.ps.201600118","","OBJECTIVE: The study examined state variation in rates of Supplemental Security Income (SSI) determinations, allowances, and receipt of benefits for ten selected child mental disabilities in 2013. METHODS: SSI administrative and U.S. Census Bureau data collected by a multidisciplinary consensus committee convened by the National Academies of Science, Engineering, and Medicine in 2015 were examined. RESULTS: Less than 1% of children in 2013 were recipients of SSI for mental disabilities. Determination rates ranged from 1,441 to 251 per 100,000 low-income children, an almost sixfold difference. Allowance rates varied from 16% to 78%, a fivefold difference. Receipt of benefits ranged from .7% to 5.3%, a sevenfold difference. CONCLUSIONS: Large unexplained discrepancies across states were found in review and receipt of SSI benefits for low-income children with mental disabilities. Inequities that cannot be explained by disability severity or financial need violate the ethos of equitable access to federally entitled services.","2017-02-01","2022-06-25 19:27:06","2022-06-25 19:27:06","","195-198","","2","68","","Psychiatr Serv","State-to-State Variation in SSI Enrollment for Children With Mental Disabilities","","","","","","","eng","","","","","PubMed","","PMID: 27691374 PMCID: PMC5538568","","C:\Users\andre\Zotero\storage\AYH9ECF7\Hoagwood et al. - 2017 - State-to-State Variation in SSI Enrollment for Chi.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/27691374","","Child; Humans; United States; Disabled Children; Child and adolescent mental disorders; Child psychiatry/general; Income; Mental disabilities; Persons with Mental Disabilities; Public Assistance; Public policy issues; State policy; Supplemental Security Income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4YHCZK8","webpage","","Bailey, Michelle; Hemmeter, Jeffrey","Characteristics of Noninstitutionalized DI and SSI Program Participants, 2013 Update","Social Security Administration Research, Statistics, and Policy Analysis","","","","https://www.ssa.gov/policy/docs/rsnotes/rsn2015-02.html","Social Security Administration Research, Statistics, and Policy Analysis","","2022-06-25 19:28:05","2022-06-27 02:30:49","2022-06-21 19:28:05","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\andre\Zotero\storage\2IE9QSAY\rsn2015-02.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NJX2AU73","webpage","2017","Romig, Kathleen","SSI: A Lifeline for Children with Disabilities","Center on Budget and Policy Priorities","","","","https://www.cbpp.org/research/social-security/ssi-a-lifeline-for-children-with-disabilities","Supplemental Security Income is the only source of federal income support targeted to families caring for children with disabilities, and it reaches only the lowest-income and most severely impaired children.","2017-05-11","2022-06-25 19:28:50","2022-06-27 02:32:00","2022-06-21 19:28:50","","","","","","","SSI","","","","","","","en","","","","","","","","","C:\Users\andre\Zotero\storage\UALLSTTK\ssi-a-lifeline-for-children-with-disabilities.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQSYUZ8S","journalArticle","2014","Burkhauser, Richard V.; Houtenville, Andrew J.; Tennant, Jennifer R.","Capturing the Elusive Working-Age Population With Disabilities: Reconciling Conflicting Social Success Estimates From the Current Population Survey and American Community Survey","","","","10.1177/1044207312446226","https://journals.sagepub.com/doi/abs/10.1177/1044207312446226","","2014-06-05","2022-06-25 19:31:18","2022-06-27 02:42:07","2022-06-21 19:31:18","","","4","24","","","","","","","","","","","","","","","","","","","C:\Users\andre\Zotero\storage\GXEFXE84\1044207312446226.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2EYTIGE9","webpage","","","NSCH Interactive Data Query (2016 – present) - Data Resource Center for Child and Adolescent Health","","","","","https://www.childhealthdata.org/browse/survey","","","2022-06-25 19:33:24","2022-06-27 02:39:04","2022-06-21 19:33:24","","","","","","","","","","","","","","","","","","","","","","","C:\Users\andre\Zotero\storage\Q5DVFHBM\survey.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3YBMB4PX","journalArticle","2018","Levy, Joseph; Rosenberg, Marjorie; Vanness, David","A Transparent and Consistent Approach to Assess US Outpatient Drug Costs for Use in Cost-Effectiveness Analyses","Value in Health: The Journal of the International Society for Pharmacoeconomics and Outcomes Research","","1524-4733","10.1016/j.jval.2017.06.013","","BACKGROUND: Assessment of drug costs for cost-effectiveness analyses (CEAs) in the United States is not straightforward because the prices paid for drugs are not publicly available and differ between payers. CEAs have relied on list prices that do not reflect the rebates and discounts known to be associated with these purchases. OBJECTIVES: To review available cost measures and propose a novel strategy that is transparent, consistent, and applicable to all CEAs taking a US health care sector perspective or a societal payer's perspective. METHODS: We propose using the National Average Drug Acquisition Cost (NADAC), the Veterans Affairs Federal Supply Schedule (VAFSS), and their midpoint as the upper bound, lower bound, and base case, respectively, to estimate net drug prices for various payers. We compare this approach with wholesale acquisition cost (WAC), the most common measure observed in our literature review. The minimum WAC is used to provide the most conservative comparison. RESULTS: Our sample consists of 1436 brand drugs and 1599 generic drugs. On average, the upper bound (NADAC) is 1% and 9.8% lower than the WAC for brand and generic drugs respectively, whereas the lower bound (VAFSS) is 48.3% and 54.2% lower than the WAC. The NADAC is less than the WAC in 89.6% of drug groups. The distributions of these relationships do not show a clear mode and have wide variation. CONCLUSIONS: Our study suggests that the WAC may be an overestimate for the base case because the minimum WAC is higher than the NADAC for most drugs. Our approach balances uncertainty and lack of data for the cost of pharmaceuticals with the need for a transparent and consistent approach for valid CEAs.","2018-06","2022-06-25 19:34:47","2022-06-25 19:34:47","","677-684","","6","21","","Value Health","","","","","","","","eng","","","","","PubMed","","PMID: 29909872 PMCID: PMC6394851","","C:\Users\andre\Zotero\storage\HQNLB38Q\Levy et al. - 2018 - A Transparent and Consistent Approach to Assess US.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/29909872","","Humans; Outpatients; United States; Cost-Benefit Analysis; cost-effectiveness analysis; drug cost; Drug Costs; Drug Industry; Drugs, Generic; Economics, Pharmaceutical; health economic methods; United States Department of Veterans Affairs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3CQM9VM3","journalArticle","2018","Levy, Joseph; Rosenberg, Marjorie; Vanness, David","A Transparent and Consistent Approach to Assess US Outpatient Drug Costs for Use in Cost-Effectiveness Analyses","Value in Health","","1098-3015, 1524-4733","10.1016/j.jval.2017.06.013","https://www.valueinhealthjournal.com/article/S1098-3015(17)30316-9/fulltext","","2018-06-01","2022-06-25 19:35:06","2022-06-25 19:35:06","2022-06-25 19:35:06","677-684","","6","21","","Value in Health","","","","","","","","English","","","","","www.valueinhealthjournal.com","","Publisher: Elsevier PMID: 29909872","","C:\Users\andre\Zotero\storage\PCC9TVJX\Levy et al. - 2018 - A Transparent and Consistent Approach to Assess US.pdf; ; C:\Users\andre\Zotero\storage\TV2SPJBI\fulltext.html","http://www.ncbi.nlm.nih.gov/pubmed/29909872","","United States; cost-effectiveness analysis; drug cost; health economic methods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GMPCT577","webpage","","US Census Bureau","2010 Census Urban and Rural Classification and Urban Area Criteria","Census.gov","","","","https://www.census.gov/programs-surveys/geography/guidance/geo-areas/urban-rural/2010-urban-rural.html","Urban-rural classification is fundamentally a delineation of geographical areas, identifying both individual urban areas and the rural areas of the nation.","","2022-06-25 19:40:46","2022-06-27 02:34:12","2022-06-25 19:40:46","","","","","","","","","","","","","","","","","","","","","Section: Government","","C:\Users\andre\Zotero\storage\D42RI27S\2010-urban-rural.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ATLP93K","blogPost","2020","","Health Insurance Coverage of Low Income Children 0-18 (under 200% FPL)","KFF","","","","https://www.kff.org/other/state-indicator/health-insurance-coverage-of-low-income-children-0-18-under-200-fpl/","The Kaiser Family Foundation website provides in-depth information on key health policy issues including Medicaid, Medicare, health reform, global health, HIV/AIDS, health insurance, the uninsured …","2020-10-23","2022-06-26 00:55:58","2022-06-26 00:55:58","2022-06-26 00:55:58","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\andre\Zotero\storage\XN5JTSIH\health-insurance-coverage-of-low-income-children-0-18-under-200-fpl.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G3D7E3K3","webpage","","","What is the Relationship Between Deprivation and Child SSI Participation? michael levere - Google Search","","","","","https://www.google.com/search?q=What+is+the+Relationship+Between+Deprivation+and+Child+SSI+Participation%3F+michael+levere&rlz=1C1CHBF_enUS724US725&oq=What+is+the+Relationship+Between+Deprivation+and+Child+SSI+Participation%3F+michael+levere&aqs=chrome..69i57.4067j0j7&sourceid=chrome&ie=UTF-8","","","2022-06-26 13:24:37","2022-06-26 13:24:37","2022-06-26 13:24:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B4GC5KAP","preprint","2022","Levere, Michael; Wittenburg, David; Hemmeter, Jeffrey; Center for Retirement Research, Boston College","What Is the Relationship Between Deprivation and Child SSI Participation?","","","","","https://papers.ssrn.com/abstract=4117810","This paper examines how local deprivation relates to child Supplemental Security Income (SSI) participation. It uses Social Security Administration data on child SSI participation at the Census tract and county levels. It also uses American Community Survey data to construct a measure of economic deprivation that reflects a range of local socioeconomic factors including education, income, employment, and housing in local areas. In our analysis, we use this measure of deprivation and a predicted value of area child SSI participation based on this level of deprivation. We assess the extent of deviation between this predicted value of area child SSI participation and area child actual SSI participation.","2022-05-23","2022-06-26 13:24:52","2022-06-26 13:24:52","2022-06-26 13:24:52","","","","","","","","","","","","","Rochester, NY","en","","SSRN Scholarly Paper","","","Social Science Research Network","","","","C:\Users\andre\Zotero\storage\7UIPU798\Levere et al. - 2022 - What Is the Relationship Between Deprivation and C.pdf","","","Social Security","","","","","","","","","","","","","","","","","","","4117810","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXELLWUE","journalArticle","2001","Davies, P. S.; Huynh, M.; Newcomb, C.; O'Leary, P.; Rupp, K.; Sears, J.","Modeling SSI financial eligibility and simulating the effect of policy options","Social Security Bulletin","","0037-7910","","","This article simulates eligibility for Supplemental Security Income (SSI) among the elderly, analyzes factors affecting participation, and looks at the potential effects of various options to modify financial eligibility standards for the federal SSI program. We find that in the estimated noninstitutional elderly population of 30.2 million in the United States in 1991, approximately 2 million individuals aged 65 or older were eligible for SSI (a 6.6 percent rate of eligibility). Our overall estimate of the rate of participation among eligible elderly is approximately 63 percent, suggesting that more than a third of those who are eligible do not participate in the program. The results of our analysis of factors affecting participation among the eligible elderly show that expected SSI benefits and a number of demographic and socioeconomic variables are associated with the probability of participation. We also simulate the effects of various policy options on the poverty rate, poverty gap, annual program cost, the number of participants, and the average estimated benefits among participants. The simulations consider the potential effects of five policy alternatives: Increase the general income exclusion (GIE) from $20 to $80. Increase the earned income exclusion (EIE) from $65 to $260. Increase the federal benefit rate (FBR) by $50 for individuals and $75 for couples and eliminate the GIE. Increase the asset threshold to $3,000 for individuals and $4,500 for couples. Increase the asset threshold to $6,000 for individuals and $9,000 for couples. Using 1991 microdata from the Survey of Income and Program Participation (SIPP) matched to Social Security Administration administrative records and making adjustments reflecting aggregate program statistics, we present the results of our simulations for December 1999. The results show substantial variation in the simulated effects of the five policy alternatives along the various outcome dimensions considered. The simulated effects on the poverty gap of the elderly population range from a 7.9 percent reduction (""Increase the GIE from $20 to $80"") to a 0.1 percent reduction (""Increase the EIE from $65 to $260""). All simulated interventions are expected to increase the rate of SSI participation among the elderly from a high of 20.3 percent (""Increase the GIE from $20 to $80"") to a low of 0.5 percent (""Increase the EIE from $65 to $260""). We also find that the interventions that have greater estimated effects in terms of increased participation and reduced poverty tend to cost more. At the high end, we estimate that increasing the GIE from $20 to $80 could raise annual federal SSI cash benefit outlays by about 46 percent, compared with only 0.9 percent for increasing the EIE from $65 to $260. Similar to the EIE intervention, raising the resource thresholds by 50 percent would reduce the overall poverty gap of the elderly by only 0.2 percent, would increase SSI participation only modestly (by 1.3 percent), but would entail slightly higher program costs (by 1.4 percent). Increasing the asset threshold by 200 percent would have higher estimated effects on all three outcomes, but it would still be associated with relatively low increases in both costs and benefits. Finally, the simulated effects on the three key outcomes of increasing the FBR by $50 for individuals and $75 for couples, combined with eliminating the GIE, are relatively large but are clearly less substantial than increasing the GIE from $20 to $80. This work relies on data from the SIPP matched to administrative data on federal SSI benefits that provide a more accurate picture of SSI participation than has been feasible for previous studies. We simulate eligibility for federal SSI benefits by applying the program rules to detailed information on the characteristics of individuals and couples based on the rich array of demographic and socioeconomic data in the SIPP, particularly the comprehensive information SIPP provides on assets and monthly income. A probit model is estimated to analyze factors affecting participation among the eligible elderly. Finally, we conduct the policy simulations using altered program rules represented by the policy alternatives and predicted participation probabilities to estimate outcomes under simulated program rules. We compare those simulated outcomes to observed outcomes under current program rules. The results of our simulations are conditional on the characteristics of participants and eligibles in 1991, but they also reflect aggregate adjustments capturing substantial changes in overall participation and program benefit levels between 1991 and 1999.","2001","2022-06-26 13:30:08","2022-06-26 13:30:08","","16-45","","2","64","","Soc Secur Bull","","","","","","","","eng","","","","","PubMed","","PMID: 12428508","","","http://www.ncbi.nlm.nih.gov/pubmed/12428508","","Female; Humans; Male; United States; Aged; Age Factors; Social Security; Income; Eligibility Determination; Insurance Benefits; Models, Organizational; Public Policy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
